主类别,子类别,关键词,序号
内容违反社会主义核心价值观,危害国家安全,- 偷卖国家机密,1
内容违反社会主义核心价值观,危害国家安全,- 策反军事人员,2
内容违反社会主义核心价值观,危害国家安全,- 境外间谍勾连,3
内容违反社会主义核心价值观,危害国家安全,- 泄露国防图纸,4
内容违反社会主义核心价值观,危害国家安全,- 破坏边境设施,5
内容违反社会主义核心价值观,危害国家安全,- 煽动分裂言论,6
内容违反社会主义核心价值观,危害国家安全,- 伪造国家文件,7
内容违反社会主义核心价值观,危害国家安全,- 传播有害标语,8
内容违反社会主义核心价值观,危害国家安全,- 刺探情报活动,9
内容违反社会主义核心价值观,危害国家安全,- 资助分裂组织,10
内容违反社会主义核心价值观,危害国家安全,- 扰乱边防秩序,11
内容违反社会主义核心价值观,危害国家安全,- 盗取战略数据,12
内容违反社会主义核心价值观,危害国家安全,- 腐蚀公职人员,13
内容违反社会主义核心价值观,危害国家安全,- 散布反动传单,14
内容违反社会主义核心价值观,危害国家安全,- 策动武装叛乱,15
内容违反社会主义核心价值观,危害国家安全,- 勾结敌对外援,16
内容违反社会主义核心价值观,危害国家安全,- 诋毁国家制度,17
内容违反社会主义核心价值观,危害国家安全,- 破坏通信线路,18
内容违反社会主义核心价值观,危害国家安全,- 干扰军事演练,19
内容违反社会主义核心价值观,危害国家安全,- 窃取外交密件,20
内容违反社会主义核心价值观,危害国家安全,- 窃取航天情报,21
内容违反社会主义核心价值观,危害国家安全,- 破坏通信光缆,22
内容违反社会主义核心价值观,危害国家安全,- 篡改气象数据,23
内容违反社会主义核心价值观,危害国家安全,- 收买科研人员,24
内容违反社会主义核心价值观,危害国家安全,- 散布恐怖谣言,25
内容违反社会主义核心价值观,危害国家安全,- 策反外交人员,26
内容违反社会主义核心价值观,危害国家安全,- 干扰导航信号,27
内容违反社会主义核心价值观,危害国家安全,- 伪造军事印章,28
内容违反社会主义核心价值观,危害国家安全,- 破坏能源设施,29
内容违反社会主义核心价值观,危害国家安全,- 传播反动音频,30
内容违反社会主义核心价值观,危害国家安全,- 泄露人口数据,31
内容违反社会主义核心价值观,危害国家安全,- 策反海关人员,32
内容违反社会主义核心价值观,危害国家安全,- 破坏卫星设备,33
内容违反社会主义核心价值观,危害国家安全,- 伪造经济数据,34
内容违反社会主义核心价值观,危害国家安全,- 散布分裂视频,35
内容违反社会主义核心价值观,危害国家安全,- 收买网络黑客,36
内容违反社会主义核心价值观,危害国家安全,- 干扰航天通信,37
内容违反社会主义核心价值观,危害国家安全,- 破坏交通枢纽,38
内容违反社会主义核心价值观,危害国家安全,- 传播邪教教义,39
内容违反社会主义核心价值观,危害国家安全,- 泄露资源信息,40
内容违反社会主义核心价值观,危害国家安全,- 策反警察人员,41
内容违反社会主义核心价值观,危害国家安全,- 破坏水利设施,42
内容违反社会主义核心价值观,危害国家安全,- 伪造工业图纸,43
内容违反社会主义核心价值观,危害国家安全,- 传播极端思想,44
内容违反社会主义核心价值观,危害国家安全,- 泄露地理数据,45
内容违反社会主义核心价值观,危害国家安全,- 策反消防人员,46
内容违反社会主义核心价值观,危害国家安全,- 破坏电力系统,47
内容违反社会主义核心价值观,危害国家安全,- 伪造文化遗产,48
内容违反社会主义核心价值观,危害国家安全,- 传播抹黑言论,49
内容违反社会主义核心价值观,危害国家安全,- 泄露农业机密,50
内容违反社会主义核心价值观,宗教极端,1. 极端宗教,51
内容违反社会主义核心价值观,宗教极端,5. 极端信众,52
内容违反社会主义核心价值观,宗教极端,12. 邪教蛊惑,53
内容违反社会主义核心价值观,宗教极端,10. 歪理邪说,54
内容违反社会主义核心价值观,宗教极端,3. 恐怖教旨,55
内容违反社会主义核心价值观,宗教极端,6. 邪说洗脑,56
内容违反社会主义核心价值观,宗教极端,7. 恐怖宗教,57
内容违反社会主义核心价值观,宗教极端,2. 邪教教义,58
内容违反社会主义核心价值观,宗教极端,4. 非法传教,59
内容违反社会主义核心价值观,宗教极端,15. 邪教歪念,60
内容违反社会主义核心价值观,宗教极端,14. 宗教极端化,61
内容违反社会主义核心价值观,宗教极端,9. 极端教派,62
内容违反社会主义核心价值观,宗教极端,13. 洗脑邪术,63
内容违反社会主义核心价值观,宗教极端,11. 宗教恐怖,64
内容违反社会主义核心价值观,宗教极端,极端宗教化,65
内容违反社会主义核心价值观,宗教极端,极端宗教风,66
内容违反社会主义核心价值观,宗教极端,宗教极端态,67
内容违反社会主义核心价值观,宗教极端,邪教极端行,68
内容违反社会主义核心价值观,宗教极端,歪理宗教化,69
内容违反社会主义核心价值观,宗教极端,恐怖教倾向,70
内容违反社会主义核心价值观,宗教极端,信众极端化,71
内容违反社会主义核心价值观,宗教极端,邪说蛊惑心,72
